dataset,objective,method,seed,iteration,n_acquired,acquisition_seconds,peak_memory_mb,cumulative_seconds,library_scoring_seconds,top1_ave,top10_ave,top100_ave,frac_top1pct,frac_top0.01pct,simple_regret,gp_noise,gp_outputscale,rank,n_scored,sobol_nodes,n_mc_samples,mean_tanimoto,median_tanimoto,p90_tanimoto,max_tanimoto,frac_pairs_gt_0.4
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,1,150,29.379609208088368,1405.863722,31.73243522644043,1.635859791887924,-0.121842573,-0.3066115078,-0.8675224356899999,0.005089058524173028,0.0,0.032868026999999994,0.04137421399354935,6.58358789706881e-09,4,10000,64,,0.8447668041850093,0.8207024029574861,1.0,1.0,1.0
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,2,200,24.767829665914178,1404.171171,57.85816812515259,1.112975874915719,-0.121842573,-0.23505177900000002,-0.8187546473799999,0.005089058524173028,0.0,0.032868026999999994,0.025320837274193764,0.06042536720633507,4,10000,64,,0.35894904003901296,0.36942675159235666,0.6535947712418301,1.0,0.4514285714285714
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,3,250,23.277292540995404,1404.170285,82.19810819625854,0.8315237921196967,-0.09891972,-0.1693402285,-0.6985591669899998,0.010178117048346057,0.0,0.009945174000000001,0.02763172797858715,0.04570242390036583,4,10000,64,,0.4178361141732988,0.2247191011235955,0.9021739130434783,1.0,0.4073469387755102
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,4,300,21.20832358300686,1404.170395,104.4291582107544,0.77611408312805,-0.09891972,-0.1693402285,-0.6410747849899999,0.010178117048346057,0.0,0.009945174000000001,0.03329334035515785,0.05535890907049179,4,10000,64,,0.7782978326018467,0.7722513089005235,1.0,1.0,0.96
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,5,350,19.758875084109604,1404.170199,125.85371327400208,1.365309583954513,-0.091556712,-0.1116798167,-0.50910934711,0.035623409669211195,0.3333333333333333,0.002582165999999997,0.05602247640490532,0.045878101140260696,4,10000,64,,0.44616054877117883,0.38650306748466257,0.8820375335120644,1.0,0.4881632653061225
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,6,400,17.86715208296664,1404.170054,144.87669014930725,0.9013258328195661,-0.091556712,-0.1032161465,-0.4242794166599999,0.05089058524173028,0.3333333333333333,0.002582165999999997,0.0604754276573658,0.15071998536586761,4,10000,64,,0.4580335556890528,0.4054834054834055,0.810204926353569,1.0,0.5134693877551021
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,7,450,17.883782624965534,1404.168991,164.02861213684082,0.9778369590640068,-0.091556712,-0.09864850500000001,-0.283040838,0.09414758269720101,0.3333333333333333,0.002582165999999997,0.054341334849596024,0.15983738005161285,4,10000,64,,0.35316683522388276,0.25937834941050375,0.6878547105561862,1.0,0.28244897959183674
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,8,500,17.984972417121753,1404.168591,183.4280502796173,1.0671701249666512,-0.09062519,-0.095519026,-0.18406998243,0.13994910941475827,0.6666666666666666,0.0016506439999999928,0.0513441227376461,0.18357667326927185,4,10000,64,,0.32381950124634284,0.23493975903614459,0.8646616541353384,1.0,0.2236734693877551
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,9,550,18.423351291101426,1404.168293,203.59722328186035,1.2764389161020517,-0.09062519,-0.0953597471,-0.16128021173,0.16793893129770993,0.6666666666666666,0.0016506439999999928,0.05288843810558319,0.16891740262508392,4,10000,64,,0.28428558172487406,0.2578125,0.4465961167775127,1.0,0.1306122448979592
wong_antibiotics,Mean_50uM,qPO-fast-r4-greedymax-10k,0,10,600,17.80506654200144,1404.167689,223.29028511047363,1.4137479169294238,-0.09062519,-0.0953597471,-0.15061842742,0.19338422391857507,0.6666666666666666,0.0016506439999999928,0.05436406284570694,0.1817149519920349,4,10000,64,,0.39683504361337074,0.3631578947368421,0.5985764235764238,1.0,0.3036734693877551
